Language,Class,Code Smell #,Category,Code Smell,Method,Type
Python,Shop,1,Bloaters,Large Class,N/A,"The `Shop` class has too many responsibilities, including handling customer info, promotions, and complaints."
Python,Shop,2,Bloaters,Long Method,long_method,"The `long_method` performs multiple tasks in a single method, making it overly complex."
Python,Shop,3,Dispensables,Dead Code,another_unused_method,The `another_unused_method` is defined but never used in the code.
Python,Shop,4,Dispensables,Dead Code,yet_another_unused_method,The `yet_another_unused_method` is defined but never used in the code.
Python,Shop,5,Object-Orientation Abusers,Speculative Generality,notify_for_promotion,The `notify_for_promotion` method seems to be a placeholder for future functionality.
Python,Shop,6,Object-Orientation Abusers,Speculative Generality,notify_for_discount,The `notify_for_discount` method seems to be a placeholder for future functionality.
Python,Shop,7,Object-Orientation Abusers,Speculative Generality,notify_for_new_arrivals,The `notify_for_new_arrivals` method seems to be a placeholder for future functionality.
Python,Shop,8,Object-Orientation Abusers,Speculative Generality,apply_discount,The `apply_discount` method seems to be a placeholder for future functionality.
Python,Shop,9,Object-Orientation Abusers,Speculative Generality,apply_loyalty_points,The `apply_loyalty_points` method seems to be a placeholder for future functionality.
Python,Shop,10,Object-Orientation Abusers,Speculative Generality,ask_for_receipt,The `ask_for_receipt` method seems to be a placeholder for future functionality.
Python,Shop,11,Couplers,Middle Man,middleman_method,The `middleman_method` only delegates to another method without adding value.
Python,Shop,12,Couplers,Message Chains,chain_of_methods,"The `chain_of_methods` initiates a chain of method calls, creating unnecessary dependencies."
Python,Shop,13,Dispensables,Data Class,N/A,"The `Shop` class primarily holds data with minimal behavior, making it a data class."
Python,Shop,14,Bloaters,Data Clumps,update_contact_info,The `update_contact_info` method groups related data fields that could be encapsulated in a separate class.
Python,Shop,15,Bloaters,Primitive Obsession,__init__,The `__init__` method uses primitive types for customer info instead of encapsulating them in a class.
Python,Shop,16,Object-Orientation Abusers,Switch Statements,handle_complaint,"The `handle_complaint` method uses repetitive if-else statements, which could be refactored."
Python,Shop,17,Dispensables,Duplicate Code,handle_complaint,The `handle_complaint` method contains redundant calls to `calm_customer_down`.
Python,Shop,18,Bloaters,Long Parameter List,update_contact_info,"The `update_contact_info` method has too many parameters, making it difficult to maintain."
Python,Shop,19,Dispensables,Dead Code,order_with_unnecessary_details,The `order_with_unnecessary_details` method is defined but its functionality is redundant or unused.
Language,Class,Code Smell #,Category,Code Smell,Method,Type
